sentence,sentiment_rate,prediction
hunt blood diamond batteries impedes green energy push dangerous mining conditions plague congo home world largest supply cobalt key ingredient electric cars leadership battle threatens reforms,-0.0255,0
adele summer walker season romantic discontent new chart topping albums two singers serve raw excavations relationships gone bad,-0.0473,0
judge delays aung san suu kyi trial myanmar civilian leader ousted coup accused inciting public unrest faces litany charges could detained rest life,-0.0389,0
prompted growing concerns omicron variant cdc monday strengthened covid vaccine booster recommendations saying american adults get extra shot,-0.0883,0
years team uber would quietly inform executives competitor employee actions one member turned others men involved speaking experience aftermath first time,0.0106,1
lee elder broke golf color barrier dies prime played league black players became first african american take part masters tournament,-0.1338,0
iran insists immediate lifting sanctions nuclear talks resume five months negotiations restoring nuclear deal iran resumed vienna harder line new iranian government,0.0146,1
bill cosby case supreme court asked toss ruling freed prosecutors brought sexual assault case appealing decision june pennsylvania supreme court overturned jury verdict,0.0953,1
elizabeth holmes says former boyfriend abused ms holmes founder failed blood testing start theranos blamed ramesh balwani former company,-0.1627,0
math equation tried stump internet published sometimes bodmas pemdas another name answer,0.033,1
cardiac angiosarcoma virgil abloh celebrated fashion designer died diagnosed rare cancer know,-0.0044,0
parag agrawal twitter new c e longtime twitter insider confidant co founder jack dorsey mr agrawal takes social media company confronts various challenges,-0.1442,0
breaking news pfizer biontech expected apply approval coronavirus booster shot year olds approved booster would first anyone u,0.1096,1
